era,task_id,classification,status,created_at,completed_at,latency_min,dispatch_or_retry
wg-era,t_912d742a0fc4,work,done,2026-05-26T20:31:17.084969087+00:00,2026-05-26T20:40:30.390691170+00:00,9.2,1
wg-era,t_3057bf1d9001,work,done,2026-05-29T13:48:58.323902690+00:00,2026-05-29T14:03:58.014887905+00:00,15.0,1
wg-era,t_1ba488b21ce9,work,done,2026-05-28T21:44:07.448053243+00:00,2026-05-28T22:01:02.136813392+00:00,16.9,1
wg-era,t_04fa230f1911,work,done,2026-05-26T20:31:17.165178982+00:00,2026-05-26T20:46:58.346756954+00:00,15.7,1
wg-era,t_f0b778ab2d5c,work,done,2026-05-28T16:16:22.865098453+00:00,2026-05-28T16:21:54.538513402+00:00,5.5,1
wg-era,t_dab6b66abf65,work,done,2026-05-28T21:27:24.619823278+00:00,2026-05-28T21:31:10.749265155+00:00,3.8,1
wg-era,t_54360071864d,work,done,2026-05-28T21:27:22.150781227+00:00,2026-05-28T21:30:45.520565954+00:00,3.4,1
wg-era,t_bc3ab3be8c8d,work,done,2026-05-28T23:42:28.664626091+00:00,2026-05-28T23:58:34.716724818+00:00,16.1,1
wg-era,t_ab2e4213a72c,work,done,2026-05-28T20:28:26.666824644+00:00,2026-05-28T20:30:13.441547049+00:00,1.8,1
wg-era,t_1c961b5c45ee,work,done,2026-05-28T20:29:48.365594667+00:00,2026-05-28T20:50:27.907578926+00:00,20.7,1
wg-era,t_63e223220f96,work,done,2026-05-28T04:43:53.985267217+00:00,2026-05-28T04:56:21.835819686+00:00,12.5,1
